permit_number,permit_type,description,filed_date,issued_date,completed_date,permit_expiration_date,estimated_cost,revised_cost,existing_use,proposed_use,proposed_construction_type_description,neighborhoods_boundaries,zipcode,record_id,city,state,changed_use,estimated_revised_diff,issued_year,issued_month,completed_year,completed_month,issued_completed_days,issued_completed_years,filed_issued_days,issued_expiration_days,address,latitude,longitude
201702028484,otc alterations permit,"new tenant, change of use from law school to professional office. interior tenant improvement to include non-bearing walls, doors, ceilings, lights, hvac, plumbing and electrical. retrofit garage entrance for accessible parking",2017-02-02,2017-07-26,2018-04-30,2020-07-10,1400000,1400000,school,office,constr_type_3,Hayes Valley,94102,145206883196,San Francisco,CA,TRUE,0,2017,Jul,2018,Apr,278,1,174,1080,"20 Haight St,San Francisco,CA,94102",37.7732297,-122.4228691
200007074541,additions alterations or repairs,seismic upgrade unreinforce masonry bldg instal basic new el mech pl & f/protsym provisions for othe,2000-07-07,2000-08-12,2002-12-13,2003-02-12,1400000,1400000,food/beverage hndlng,office,constr_type_3,Financial District/South Beach,94107,823251167840,San Francisco,CA,TRUE,0,2000,Aug,2002,Dec,853,2,36,914,"64 Townsend St,San Francisco,CA,94107",37.78131379919165,-122.38948679796141
200007074541,additions alterations or repairs,seismic upgrade unreinforce masonry bldg instal basic new el mech pl & f/protsym provisions for othe,2000-07-07,2000-08-12,2002-12-13,2003-02-12,1400000,1400000,food/beverage hndlng,office,constr_type_3,Financial District/South Beach,94107,823252291099,San Francisco,CA,TRUE,0,2000,Aug,2002,Dec,853,2,36,914,"72 Townsend St,San Francisco,CA,94107",37.78125708879907,-122.38956075532906
200207292568,additions alterations or repairs,remodel of exist 108 units to 72 units apartment for low-income senior citizens. community spaces ..,2002-07-29,2003-08-07,2005-05-11,2006-02-07,1400000,1400000,tourist hotel/motel,misc group residns.,constr_type_3,Nob Hill,94109,91743978350,San Francisco,CA,TRUE,0,2003,Aug,2005,May,643,2,374,915,"1301 Polk St,San Francisco,CA,94109",37.788808,-122.420434
200207292568,additions alterations or repairs,remodel of exist 108 units to 72 units apartment for low-income senior citizens. community spaces ..,2002-07-29,2003-08-07,2005-05-11,2006-02-07,1400000,1400000,tourist hotel/motel,misc group residns.,constr_type_3,Nob Hill,94109,947085413420,San Francisco,CA,TRUE,0,2003,Aug,2005,May,643,2,374,915,"1327 Polk St,San Francisco,CA,94109",37.7890756,-122.4205448
201012307638,additions alterations or repairs,1 story addition over part of (e) 2 stories building new residential at 2nd & 3rd floor. (3 units) existing workshop to remain. new separate parking for residences.,2010-12-30,2011-10-06,2014-03-14,2014-09-20,1300000,1824350,office,retail sales,constr_type_3,Mission,94110,1227002163490,San Francisco,CA,TRUE,524350,2011,Oct,2014,Mar,890,3,280,1080,"2660 Harrison St,San Francisco,CA,94110",37.754873183673475,-122.41221163265305
200809252623,additions alterations or repairs,"convert and renovate the extg partial basement, 1st and 2nd floor level commercial space into 2 residential units. new exterior wndw systems. new garage door system. new roof system above 2nd floor, west side",2008-09-25,2010-04-12,2012-12-21,2013-03-27,1250000,1250000,food/beverage hndlng,apartments,constr_type_1,Nob Hill,94108,1151126233332,San Francisco,CA,TRUE,0,2010,Apr,2012,Dec,984,2,564,1080,"1001 California St,San Francisco,CA,94108",37.79161875,-122.41102857609219
201209190172,additions alterations or repairs,"new parking & offices at basement levels. new disbaled access bathrooms. parking subject to pricing conditions of planning code section 155 (g) mep, fire alarm & sprinkler under separate permit.",2012-09-19,2012-12-17,2014-01-31,2015-12-02,1228659,1228659,office,prkng garage/public,constr_type_1,Chinatown,94108,1283176296980,San Francisco,CA,TRUE,0,2012,Dec,2014,Jan,410,2,89,1080,"650 California St,San Francisco,CA,94108",37.792866950000004,-122.40521927890153
200712311628,additions alterations or repairs,"suite #201- change of use from office to child care center. interior ti for activity rooms, offices, restrooms and new kitchen. construct new exterior door and ramp to playground & exterior door replacement.",2007-12-31,2008-03-14,2008-06-24,2010-09-14,1200000,1200000,office,day care center,constr_type_1,Financial District/South Beach,94105,1121039347172,San Francisco,CA,TRUE,0,2008,Mar,2008,Jun,102,0,74,914,"303 2nd St,San Francisco,CA,94105",37.7855647,-122.396389
200911030476,additions alterations or repairs,"vertical & horizontal addition - addition & substantial alteration to (e) 2-story single family dwellig of type v-b to a 4-story, 4 units residential bldg of type v-a wood construction, including new mechanical, electrical & plumbing.",2009-11-03,2011-03-16,2012-07-17,2014-02-28,1200000,1492000,2 family dwelling,apartments,wood_frame_5,Haight Ashbury,94117,118945092773,San Francisco,CA,TRUE,292000,2011,Mar,2012,Jul,489,1,498,1080,"1138 Page St,San Francisco,CA,94117",37.7720185,-122.4396271
200911030476,additions alterations or repairs,"vertical & horizontal addition - addition & substantial alteration to (e) 2-story single family dwellig of type v-b to a 4-story, 4 units residential bldg of type v-a wood construction, including new mechanical, electrical & plumbing.",2009-11-03,2011-03-16,2012-07-17,2014-02-28,1200000,1492000,2 family dwelling,apartments,wood_frame_5,Haight Ashbury,94117,1189451466417,San Francisco,CA,TRUE,292000,2011,Mar,2012,Jul,489,1,498,1080,"1140 Page St,San Francisco,CA,94117",37.7720164,-122.4396469
201108243157,additions alterations or repairs,"t.i. for (n) bowling alley & restaurant. work incl (n) floor trenching, partitions, fixtures, finishes, 12 bowling lanes, kitchen, bar, dining areas, kitchen equipment. mep, signage & fire protection under separate permits.",2011-08-24,2011-12-07,2012-03-22,2014-11-21,1200000,1200000,retail sales,food/beverage hndlng,constr_type_1,Mission Bay,94107,1249959487033,San Francisco,CA,TRUE,0,2011,Dec,2012,Mar,106,1,105,1080,"200 King St,San Francisco,CA,94107",37.7781842,-122.392319
201109144610,additions alterations or repairs,"site permit, rehabilitate historic mansion, subdivide lot into (4) lots. change use from a school to a new single family house.",2011-09-14,2013-02-01,2015-02-12,2016-01-17,1200000,1400000,school,1 family dwelling,wood_frame_5,Hayes Valley,94117,1273305488414,San Francisco,CA,TRUE,200000,2013,Feb,2015,Feb,741,2,506,1080,"940 Grove St,San Francisco,CA,94117",37.77675220408163,-122.43209971428571
201210101737,additions alterations or repairs,"restore of hist spaces; add(n) fire suppression, mech & elec sys. change of use requires seismic upgrade. renovate basemt w/ office space &(n)bathrms. 1st fl:restore assembly use. provide 2(n)exits. 2nd fl:remain office use. penthse remain mtg space. add(n)int stairs frm 2nd fl to pent. extend stair",2012-10-10,2013-09-04,2017-05-15,2019-08-04,1200000,5200000,office,nite club,constr_type_3,Tenderloin,94102,128525370084,San Francisco,CA,TRUE,4000000,2013,Sep,2017,May,1349,4,329,2160,"1 Jones St,San Francisco,CA,94102",37.78143655,-122.41244835396353
201312234927,additions alterations or repairs,change of use. project converts a vacant umb church to a 4 unit apartment building with seimic retrofit. maher/na,2013-12-23,2014-11-13,2016-02-04,2017-10-28,1200000,2409350,church,apartments,constr_type_3,Mission,94110,1328032160972,San Francisco,CA,TRUE,1209350,2014,Nov,2016,Feb,448,2,325,1080,"651 Dolores St,San Francisco,CA,94110",37.758918,-122.425635
201312234927,additions alterations or repairs,change of use. project converts a vacant umb church to a 4 unit apartment building with seimic retrofit. maher/na,2013-12-23,2014-11-13,2016-02-04,2017-10-28,1200000,2409350,church,apartments,constr_type_3,Mission,94110,1328033387317,San Francisco,CA,TRUE,1209350,2014,Nov,2016,Feb,448,2,325,1080,"655 Dolores St,San Francisco,CA,94110",37.7588715,-122.42563133333333
201503231539,otc alterations permit,"(n) non structural partitions, ceilings, lighting, finishes, millwork. partial change in occupancy of shell space to a-2 for food prep/servery dining and coffee shop. n/a ordinance #155-13.  no exterior work. 4/f only",2015-03-23,2015-06-08,2016-06-06,2018-05-23,1200000,1284456.07,office,food/beverage hndlng,constr_type_1,Financial District/South Beach,94105,1375190164605,San Francisco,CA,TRUE,84456.07000000007,2015,Jun,2016,Jun,364,1,77,1080,"1 Market St,San Francisco,CA,94105",37.79381995,-122.39481441121336
201507131284,otc alterations permit,"9th floor commercial t.i.  on plumbing, selective structural reinforcment. n/a for maher.  life safety deferred.",2015-07-13,2015-07-17,2016-09-02,2019-06-26,1200000,2500000,vacant lot,office,constr_type_1,Financial District/South Beach,94105,1388182165594,San Francisco,CA,TRUE,1300000,2015,Jul,2016,Sep,413,1,4,1440,"222 2nd St,San Francisco,CA,94105",37.78647375,-122.39826348134845
201507131285,otc alterations permit,"10th floor commercial t.i. partitions, fixtures, mechanical, electrical, plmg,  selective structual reinforment. n.a for the maher.  life safety deferred.",2015-07-13,2015-07-17,2016-08-10,2019-06-26,1200000,2500000,vacant lot,office,constr_type_1,Financial District/South Beach,94105,1388184165594,San Francisco,CA,TRUE,1300000,2015,Jul,2016,Aug,390,1,4,1440,"222 2nd St,San Francisco,CA,94105",37.78647375,-122.39826348134845
201508214936,otc alterations permit,"indoor table tennis club build out of an (e) shell. indoor and outdoor court with viewing areas, dining areas, bar, kitchen, food/beverage stroage & bathrooms, including but not limited to built in furniture and interior walls and finishes.",2015-08-21,2015-11-18,2016-05-27,2018-11-02,1200000,1400000,prkng garage/private,recreation bldg,constr_type_2,Financial District/South Beach,94105,1392977165579,San Francisco,CA,TRUE,200000,2015,Nov,2016,May,191,1,89,1080,"690 Folsom St,San Francisco,CA,94105",37.7841938,-122.3992122
201711214631,otc alterations permit,interior tenant improvement of existing space to accomodate light manufacturing of laser sensors. scope includes structural alteration to mezzanine and mep. build out of clean room under sep permit maher not req. sprinklers deferred.,2017-11-21,2017-12-08,2018-10-10,2020-11-22,1200000,1500000,"warehouse, furniture",auto repairs,wood_frame_5,Mission,94110,1488072159248,San Francisco,CA,TRUE,300000,2017,Dec,2018,Oct,306,1,17,1080,"350 Treat Av,San Francisco,CA,94110",37.76461257142857,-122.41348714285714
201910295829,otc alterations permit,"t.i.  of extg space for light manufacturing use. work includes non-structural walls and doors, new breakroom, lobby, bathrooms. mep and sffd sprinklers on seperate permits. n/a for maher",2019-10-29,2019-11-21,2020-05-08,2022-05-21,1200000,1200000,recreation bldg,manufacturing,wood_frame_5,Potrero Hill,94107,1573987290647,San Francisco,CA,TRUE,0,2019,Nov,2020,May,169,1,23,912,"470 Carolina St,San Francisco,CA,94107",37.76275642857143,-122.40053357142857
201406208993,additions alterations or repairs,"change of occupancy. ti to include partitions, door, casework & finishes at 1st floor & 2nd floor. exterior work to include new parking lot, entry court, landscaping window & entry  canopy. mep under separate permit. fire sprinkler & alarm under separate permit.",2014-06-20,2014-12-29,2015-12-22,2017-12-13,1100000,1100000,office,school,wood_frame_5,Western Addition,94102,1346056375533,San Francisco,CA,TRUE,0,2014,Dec,2015,Dec,358,1,192,1080,"888 Turk St,San Francisco,CA,94102",37.78173477777778,-122.42304644444445
201406208999,additions alterations or repairs,"change of occupancy. ti scope of work to include new interior partitions doors, casework & finishes on floors 1,2 & 3. exterior improvements include new playyard, landscape, breezway, windows & roof deck, mep under separate permit. fire alarm & sprinkler separate permit.",2014-06-20,2015-01-29,2015-12-22,2018-01-13,1100000,1100000,office,school,constr_type_2,Western Addition,94102,134606580853,San Francisco,CA,TRUE,0,2015,Jan,2015,Dec,327,0,223,1080,"930 Gough St,San Francisco,CA,94102",37.78188436734694,-122.4238831632653
201801310073,otc alterations permit,ti at basement addition of bicycle storage room and 4th floor fitness center with shower and locker rooms for tenant use,2018-01-31,2018-02-09,2018-09-14,2021-01-24,1100000,1100000,office,barber/beauty salon,constr_type_1,Financial District/South Beach,94104,1495518448690,San Francisco,CA,TRUE,0,2018,Feb,2018,Sep,217,0,9,1080,"345 California St,San Francisco,CA,94104",37.7925913,-122.40045712150354
201909262798,otc alterations permit,mep submittal for pa 201808278419. buildout of (e) garment factory space to b-occupancy lab space w/ supporting offices. install (n) interior and rooftop mechanical units. connect fixtures :& equipment via base building panels. provide plumb connections to (n) fixtures and drain lines to hvac units,2019-09-26,2019-10-28,2019-12-03,2022-04-28,1100000,1100000,manufacturing,clinics-medic/dental,constr_type_3,Mission Bay,94103,1569621168094,San Francisco,CA,TRUE,0,2019,Oct,2019,Dec,36,0,32,913,"1400 16th St,San Francisco,CA,94103",37.766263,-122.400918
201108263364,additions alterations or repairs,demo interior of basement & both floors. new walgreens interior tenant improvement. (e) 2nd floor restaurant becomes part of new walgreens space. add new elevator & escalators & seismic streng thening.,2011-08-26,2012-08-17,2013-05-06,2016-07-27,1000000,3000000,food/beverage hndlng,retail sales,constr_type_3,Tenderloin,94102,124790269752,San Francisco,CA,TRUE,2000000,2012,Aug,2013,May,262,1,357,1440,"135 Powell St,San Francisco,CA,94102",37.7860126,-122.4083091
201308093998,additions alterations or repairs,"site permit only, change of use from industrial to residential including 3 bedrooms, 1 kitchen, 3.5 baths and vertical extension approx 62""",2013-08-09,2014-07-10,2016-02-04,2017-06-24,1000000,1000000,manufacturing,1 family dwelling,wood_frame_5,South of Market,94103,1313791456702,San Francisco,CA,TRUE,0,2014,Jul,2016,Feb,574,2,335,1080,"47 Moss St,San Francisco,CA,94103",37.77796655,-122.40805466982758
201308093998,additions alterations or repairs,"site permit only, change of use from industrial to residential including 3 bedrooms, 1 kitchen, 3.5 baths and vertical extension approx 62""",2013-08-09,2014-07-10,2016-02-04,2017-06-24,1000000,1000000,manufacturing,1 family dwelling,wood_frame_5,South of Market,94103,1313792165414,San Francisco,CA,TRUE,0,2014,Jul,2016,Feb,574,2,335,1080,"49 Moss St,San Francisco,CA,94103",37.77796655,-122.40805466982758
201401176573,additions alterations or repairs,"g/f-change use; 6,833 sf; from retail to restaurant. stru. work only at b/f; remodel include (n) storefront, kitchen, restrooms, interior finishes & fixtures & (n) mechanical/mezzanine level of 467 sq ft. n/a for maher ordinance #155-13",2014-01-17,2014-10-31,2015-08-13,2017-10-15,1000000,1000000,retail sales,food/beverage hndlng,constr_type_2,Financial District/South Beach,94104,1330116449549,San Francisco,CA,TRUE,0,2014,Oct,2015,Aug,286,1,287,1080,"658 Market St,San Francisco,CA,94104",37.788341,-122.40276
201704073503,additions alterations or repairs,"1st & (n)2nd flrl ti - remodel of (e) mezz, replace w/1134 st (gross) 2nd flr: new pre-k and unisex restrooms. front & rear facade work, insulate the roof, re-roof. new stucco. structural & mep/sprinkler under separate permit",2017-04-07,2018-05-01,2019-05-03,2021-04-15,1000000,1000000,church,school,wood_frame_5,Outer Mission,94112,1458918215584,San Francisco,CA,TRUE,0,2018,May,2019,May,367,1,389,1080,"5016 Mission St,San Francisco,CA,94112",37.71815212068965,-122.43957893103448
201710232010,otc alterations permit,"all floors- interior t.i. to includes toilets, stairs, ada upgrades,  seperate permits for mep work is design build including modification to (e) fire sprinkler system. ext. storefront modification under seperate permit. change of use pa#201708154941, change of use",2017-10-23,2018-02-26,2018-08-13,2021-02-10,1000000,1000000,health studios & gym,office,constr_type_3,Tenderloin,94102,1484431387750,San Francisco,CA,TRUE,0,2018,Feb,2018,Aug,168,0,126,1080,"37 Grove St,San Francisco,CA,94102",37.7786422,-122.41604516
201710232010,otc alterations permit,"all floors- interior t.i. to includes toilets, stairs, ada upgrades,  seperate permits for mep work is design build including modification to (e) fire sprinkler system. ext. storefront modification under seperate permit. change of use pa#201708154941, change of use",2017-10-23,2018-02-26,2018-08-13,2021-02-10,1000000,1000000,health studios & gym,office,constr_type_3,Tenderloin,94102,148443270116,San Francisco,CA,TRUE,0,2018,Feb,2018,Aug,168,0,126,1080,"1236 Market St,San Francisco,CA,94102",37.778422224489795,-122.4153355510204
201801168666,additions alterations or repairs,"change of use from retail occupancy (m) into (i-2.1). to construct new dialysis center - construct interior improvements to convert outpatient renal dialysis clinic. 12 stations, 1 private treatment, training room, non load bearing walls and finishes.** maher: n/a **",2018-01-16,2018-06-27,2019-04-04,2021-06-11,1000000,1000000,retail sales,clinics-medic/dental,constr_type_2,Inner Richmond,94118,149361599559,San Francisco,CA,TRUE,0,2018,Jun,2019,Apr,281,1,162,1080,"3700 Geary Blvd,San Francisco,CA,94118",37.78196665,-122.45932412135059
9825937,additions alterations or repairs,vertical and horizontal addition,1998-12-19,1999-12-01,2000-12-01,2002-06-01,1000000,1800000,auto repairs,apartments,constr_type_1,Pacific Heights,94115,70344878618,San Francisco,CA,TRUE,800000,1999,Dec,2000,Dec,366,1,347,913,"2255 Bush St,San Francisco,CA,94115",37.786620049999996,-122.43419612202565
200104116586,additions alterations or repairs,"chg 2 story building w/increase in floor area by filling open 2ndfloor space.install hvac,sprinkler.",2001-04-11,2001-10-10,2002-04-26,2003-10-10,1000000,1000000,garment shops,social care facility,constr_type_3,Mission,94110,874223159187,San Francisco,CA,TRUE,0,2001,Oct,2002,Apr,198,1,182,730,"165 Capp St,San Francisco,CA,94110",37.76410195918367,-122.41846014285714
200307189793,additions alterations or repairs,change of use & seismic upgrade of (e) concrete industrial bldg. to dance studio,2003-07-18,2003-10-28,2005-10-11,2007-07-28,1000000,3000000,manufacturing,dance hall,constr_type_3,Mission,94110,950378159324,San Francisco,CA,TRUE,2000000,2003,Oct,2005,Oct,714,2,102,1369,"351 Shotwell St,San Francisco,CA,94110",37.762826673469384,-122.41604771428571
200405073300,additions alterations or repairs,"renovation of existing commercial store, five story residential addition",2004-05-07,2006-06-26,2008-06-25,2010-03-26,1000000,2700000,office,apartments,wood_frame_5,Nob Hill,94109,97887278388,San Francisco,CA,TRUE,1700000,2006,Jun,2008,Jun,730,2,780,1369,"1158 Sutter St,San Francisco,CA,94109",37.787858,-122.419979
201401216697,otc alterations permit,"1st,mezz & 3rd floor new tenant improvement consists of new partitions, new pantry, new finishes & new lighting, mep & sprinklers & ls under separte permit. compliance with ordinance #155-13 not required.",2014-01-21,2014-02-11,2014-10-31,2017-01-26,990000,990000,retail sales,manufacturing,constr_type_3,South of Market,94103,1330279167584,San Francisco,CA,TRUE,0,2014,Feb,2014,Oct,262,0,21,1080,"1045 Bryant St,San Francisco,CA,94103",37.771797750000005,-122.4073896
201602129552,otc alterations permit,"ti 1st fl, unit 40:  new wall, power, lighting and finishes. change of use from general office to personal service.  maher not req",2016-02-12,2016-03-24,2017-03-08,2019-03-09,990000,990000,office,school,constr_type_2,Financial District/South Beach,94111,141236659145,San Francisco,CA,TRUE,0,2016,Mar,2017,Mar,349,1,41,1080,"1160 Battery St,San Francisco,CA,94111",37.801935,-122.40161681632652
201608114810,additions alterations or repairs,change of use from rectory to school and tenant improvements. (seismic retrofit under seperate permit).** maher: n/a **,2016-08-11,2017-02-13,2018-01-24,2020-01-29,986000,1830000,residential hotel,school,wood_frame_5,South of Market,94103,1433412156582,San Francisco,CA,TRUE,844000,2017,Feb,2018,Jan,345,1,186,1080,"1415 Howard St,San Francisco,CA,94103",37.77343665,-122.41471196874157
201111018054,additions alterations or repairs,"3,820 sf ground fl tenant improvemt for (n) banking ctr incl (n) atms cust areas, teller line, offices, employee break areas, restrm & back of house support spaces. work includes struct, elect, mech, plumbing & finishes. related work under separate permit app for ext/storefront: ref #201110217364",2011-11-01,2012-03-15,2012-10-26,2015-02-28,960000,960000,retail sales,lending institution,constr_type_3,Nob Hill,94102,1254234299068,San Francisco,CA,TRUE,0,2012,Mar,2012,Oct,225,0,135,1080,"400 Post St,San Francisco,CA,94102",37.788343,-122.4088761
201209119373,additions alterations or repairs,oshpd3 project - new interior improvements for 25 station dialysis clinic with support space. this project will require oshpd3 approval .,2012-09-11,2013-07-02,2014-08-26,2016-06-16,950000,1150000,office,clinics-medic/dental,wood_frame_5,Potrero Hill,94110,1282135168884,San Francisco,CA,TRUE,200000,2013,Jul,2014,Aug,420,1,294,1080,"2535 18th St,San Francisco,CA,94110",37.76183042857143,-122.40757338775511
201209119373,additions alterations or repairs,oshpd3 project - new interior improvements for 25 station dialysis clinic with support space. this project will require oshpd3 approval .,2012-09-11,2013-07-02,2014-08-26,2016-06-16,950000,1150000,office,clinics-medic/dental,wood_frame_5,Potrero Hill,94110,1282136168898,San Francisco,CA,TRUE,200000,2013,Jul,2014,Aug,420,1,294,1080,"609 Hampshire St,San Francisco,CA,94110",37.761675,-122.4080638367347
201209119373,additions alterations or repairs,oshpd3 project - new interior improvements for 25 station dialysis clinic with support space. this project will require oshpd3 approval .,2012-09-11,2013-07-02,2014-08-26,2016-06-16,950000,1150000,office,clinics-medic/dental,wood_frame_5,Potrero Hill,94110,1282137168899,San Francisco,CA,TRUE,200000,2013,Jul,2014,Aug,420,1,294,1080,"626 Potrero Av,San Francisco,CA,94110",37.761534,-122.407253
201405095351,additions alterations or repairs,"site permit & change of use for (n) retail pharmacy on ground flr, work includes demo of offices on 2nd flr parking lot & adding parking.",2014-05-09,2014-12-26,2018-02-08,2017-12-10,950000,2200000,office,retail sales,wood_frame_5,Inner Sunset,94116,1341365126420,San Francisco,CA,TRUE,1250000,2014,Dec,2018,Feb,1140,4,231,1080,"1900 19th Av,San Francisco,CA,94116",37.7521511,-122.47586702504157
201502067724,additions alterations or repairs,conversion of existing warehouse to art galleries. existing mezzanine will be reconstructed and expanded within existing building envelope. exterior work includes new entries. mep under seperate permit.,2015-02-06,2015-08-25,2016-06-17,2018-08-09,950000,2359693,"warehouse, furniture",workshop commercial,constr_type_3,Potrero Hill,94107,1370319172515,San Francisco,CA,TRUE,1409693,2015,Aug,2016,Jun,297,1,200,1080,"1275 Minnesota St,San Francisco,CA,94107",37.75438077551021,-122.38979446938775
201801229151,otc alterations permit,"ti to expand the middle school classrooms to the 2nd floor (change of use), adding classrooms, wc's, study hall and offices. create new opening at extg 2nd floor, non-bearing cmu wall to connect to 1555 mariposa. new stair at southeast corner for exiting from 1st & 2nd floor.",2018-01-22,2018-05-01,2018-11-20,2021-04-15,950000,2000000,office,school,constr_type_3,Potrero Hill,94107,1494300446261,San Francisco,CA,TRUE,1050000,2018,May,2018,Nov,203,0,99,1080,"1501 Mariposa St,San Francisco,CA,94107",37.763645,-122.398727
201111229421,otc alterations permit,"barrier removal, construct 3 offices, interior finishes hvac. fire alarm revisions under separate application.",2011-11-22,2011-12-08,2012-04-02,2014-11-22,947230,947230,library,school,constr_type_2,Potrero Hill,94110,1256072377894,San Francisco,CA,TRUE,0,2011,Dec,2012,Apr,116,1,16,1080,"1001 Potrero Av,San Francisco,CA,94110",37.75605,-122.406521
201705126507,additions alterations or repairs,"partial change of use from mercantile to educational for 7341 sq.ft. for alta vista school. entire floor space shall be ""e"" occupancy. 6 classrms, 3 private offices & 1 storage room. includes fit out of entry lobby, 1 classroom, 2 private offices, 1 faculty louge, 1 multi purpose room. mep & life",2017-05-12,2017-08-04,2017-09-22,2020-07-19,930000,930000,retail sales,school,constr_type_1,Mission,94110,1462991507755,San Francisco,CA,TRUE,0,2017,Aug,2017,Sep,49,0,84,1080,"2558 Mission St,San Francisco,CA,94110",37.75610583673469,-122.4189160612245
200903023179,otc alterations permit,"site- parking lot new accessible ramp, gates & parking stepping. exterior- new entry storefront exterior glazing replacement & replace cemenet plaster finish & interior, install 3 single accomodation  toilets, 9 exam rooms, pharmacy, reception/rn stations, office & ancillary spaces, new ceiling/lght",2009-03-02,2009-03-06,2010-02-11,2012-02-19,920000,920000,retail sales,clinics-medic/dental,wood_frame_5,Sunset/Parkside,94122,1166251122553,San Francisco,CA,TRUE,0,2009,Mar,2010,Feb,342,1,4,1080,"1450 Noriega St,San Francisco,CA,94122",37.7543153,-122.47946761536653
200711137944,additions alterations or repairs,2 story vertical addition. 9 residential unit addition. extension of existing code compliant stairway.,2007-11-13,2012-09-04,2014-01-16,2018-08-04,900000,3168000,auto repairs,apartments,wood_frame_5,Mission,94110,1115998206060,San Francisco,CA,TRUE,2268000,2012,Sep,2014,Jan,499,2,1757,2160,"3135 24th St,San Francisco,CA,94110",37.752381,-122.41478266666667
200901140220,additions alterations or repairs,addition of dwelling unit onto existing artist studio.work includes interior improvements throughout,2009-01-14,2009-09-11,2012-10-10,2012-08-26,900000,900000,workshop commercial,1 family dwelling,constr_type_3,Financial District/South Beach,94107,1162146167322,San Francisco,CA,TRUE,0,2009,Sep,2012,Oct,1125,3,240,1080,"425 Bryant St,San Francisco,CA,94107",37.78259508,-122.39408268
201008279681,additions alterations or repairs,"this project consists of a change of use & an addition to an (e) 2 story commercial building. the addition will include facade work, a seismic upgrade & fire/life safety upgrade of (e)building. the project will demolish the (e) roof & add 3 floors which will contain four- 2 bedroom, 2 bathroom condo",2010-08-27,2011-08-01,2013-06-04,2014-07-16,900000,1196839,office,apartments,constr_type_2,South of Market,94107,1216282166180,San Francisco,CA,TRUE,296839,2011,Aug,2013,Jun,673,2,339,1080,"960 Harrison St,San Francisco,CA,94107",37.778005416666666,-122.40329
201305036122,additions alterations or repairs,shoring as a result of the new construction on 222 2nd st project. (reference pa #200711309386s),2013-05-03,2013-07-22,2016-06-22,2016-07-06,900000,900000,parking lot,office,constr_type_1,Financial District/South Beach,94105,1303745165594,San Francisco,CA,TRUE,0,2013,Jul,2016,Jun,1066,3,80,1080,"222 2nd St,San Francisco,CA,94105",37.78647375,-122.39826348134845
201310219769,additions alterations or repairs,"interior remodel: convert from 3 units to 2 units. infill (<12') under (e) 3rd flr @ sw corner. lower grade + /-8'-0"" @ rear to create on grade patio @ ground floor. add balcony (@ rear) 3rd floor + 2nd floor bridge over lowe patio to access rear yard.",2013-10-21,2014-07-08,2016-02-02,2017-06-22,900000,1000000,apartments,2 family dwelling,wood_frame_5,Noe Valley,94114,1321455249051,San Francisco,CA,TRUE,100000,2014,Jul,2016,Feb,574,2,260,1080,"1072 Sanchez St,San Francisco,CA,94114",37.75197585,-122.42999009058443
201310219769,additions alterations or repairs,"interior remodel: convert from 3 units to 2 units. infill (<12') under (e) 3rd flr @ sw corner. lower grade + /-8'-0"" @ rear to create on grade patio @ ground floor. add balcony (@ rear) 3rd floor + 2nd floor bridge over lowe patio to access rear yard.",2013-10-21,2014-07-08,2016-02-02,2017-06-22,900000,1000000,apartments,2 family dwelling,wood_frame_5,Noe Valley,94114,1321456415967,San Francisco,CA,TRUE,100000,2014,Jul,2016,Feb,574,2,260,1080,"1074 Sanchez St,San Francisco,CA,94114",37.75197585,-122.42999009058443
201510068918,additions alterations or repairs,"chg of use.renovate(e)1st story.upgrade(e)foundation to support 2 new story addition above (e)1st story.install a new elevator,an auto sprinkler sys,new stairs,interior partitions,acoustical ceilings,liting,access restrooms.upgrade(e)power distribution,plum&mech.sys for new renovation&addition wk.",2015-10-06,2017-11-16,2020-03-05,2020-10-31,900000,2000000,food/beverage hndlng,clinics-medic/dental,wood_frame_5,Oceanview/Merced/Ingleside,94112,1398231214777,San Francisco,CA,TRUE,1100000,2017,Nov,2020,Mar,840,3,772,1080,"1441 Ocean Av,San Francisco,CA,94112",37.7240373,-122.45795070242438
201902062205,otc alterations permit,production anger cast piles.,2019-02-06,2019-02-11,2020-03-12,2022-01-26,900000,2300000,vacant lot,prkng garage/public,constr_type_2,Mission Bay,94158,1540459511667,San Francisco,CA,TRUE,1400000,2019,Feb,2020,Mar,395,1,5,1080,"1470 Owens St,San Francisco,CA,94158",37.770360857142855,-122.39613485714285
201907267108,otc alterations permit,generator for warriors arena,2019-07-26,2019-07-29,2019-08-26,2021-07-29,900000,900000,vacant lot,recreation bldg,constr_type_1,Mission Bay,94158,1561560430299,San Francisco,CA,TRUE,0,2019,Jul,2019,Aug,28,0,3,731,"300 16th St,San Francisco,CA,94158",37.766994,-122.388951
200005089319,additions alterations or repairs,tenant iprovements 5th floor,2000-05-08,2000-08-17,2000-11-21,2003-02-17,900000,1900000,"warehouse,no frnitur",office,constr_type_1,Bayview Hunters Point,94124,817059182252,San Francisco,CA,TRUE,1000000,2000,Aug,2000,Nov,96,0,101,914,"200 Paul Av,San Francisco,CA,94124",37.722988,-122.397787
